timestamp,temperature,vibration,pressure,operational_hours,efficiency_index,system_state,performance_score,fused,anomaly
2024-11-06 13:20:49.343738,69.47834066531108,46.928176143567136,29.17707131991312,0,0.9779331630707191,0,97.7933163070719,244.35483759893398,1.0
2024-11-06 14:20:49.343742,65.97324321150495,46.62251617452447,27.283392707016805,1,0.9423099617273653,0,94.23099617273652,236.05245822751013,0.0
2024-11-06 15:20:49.343744,68.62998091390762,49.32386898224407,24.971279472302594,2,0.9278635526521112,0,92.78635526521111,238.6393481863175,0.0
2024-11-06 16:20:49.343745,70.20049999870504,52.202880945680086,33.186902597860325,3,0.9293026335285042,0,92.93026335285042,252.44984952862438,0.0
2024-11-06 17:20:49.343745,66.47568325512003,54.62046090246259,39.128132961841125,4,0.8498356832031183,0,84.98356832031183,250.05768112293867,0.0
2024-11-06 18:20:49.343746,74.92903326505403,54.683799644593265,39.94003114416281,5,0.8339670809436213,0,83.39670809436213,258.78353922911583,0.0
2024-11-06 19:20:49.343747,77.52912102628048,53.03365090108403,42.92950950754205,6,0.8064661613738227,0,80.64661613738227,260.94536373366265,0.0
2024-11-06 20:20:49.343748,72.94743011582771,58.63365139481598,34.71827228160256,7,0.8566007699012975,0,85.66007699012975,259.8160315522773,0.0
2024-11-06 21:20:49.343748,73.9273206435966,58.55730933779811,35.17356165964866,8,0.8470752363722839,0,84.70752363722839,261.21279051464404,0.0
2024-11-06 22:20:49.343749,70.65491924674397,52.287661115365744,34.172329578087485,9,0.9189220674240454,0,91.89220674240454,258.9260387500258,0.0
2024-11-06 23:20:49.343750,77.98299766427013,56.811753230696716,28.33514949657481,10,0.8531345632182101,0,85.31345632182101,259.2964912765809,0.0
2024-11-07 00:20:49.343751,73.84089436293159,58.23151218447437,31.484712663973898,11,0.8744568746084526,0,87.44568746084525,262.87726354683355,0.0
2024-11-07 01:20:49.343751,62.96805693750606,49.57044191510365,35.21292081513469,12,0.8845494170663115,0,88.45494170663115,249.09091079144184,0.0
2024-11-07 02:20:49.343752,70.02128940214229,48.5972309659045,25.729107268907487,13,0.9473937748618607,0,94.73937748618607,253.03439889800222,0.0
2024-11-07 03:20:49.343753,64.51025736373475,50.54858701080889,28.283550355094057,14,0.9123539748933398,0,91.23539748933398,249.49014619386503,0.0
2024-11-07 04:20:49.343753,69.61912427325474,46.02102030111675,30.547128269406873,15,0.9868251352911859,0,98.68251352911858,260.85661150818817,0.0
2024-11-07 05:20:49.343754,61.64249983997645,41.632296795436716,30.39573035799502,16,0.915214013201824,0,91.5214013201824,242.10714232679243,0.0
2024-11-07 06:20:49.343755,66.02908383052109,44.22564141400193,28.697945776897456,17,0.9577935610144799,0,95.77935610144799,252.68982068388294,0.0
