type,start_idx,end_idx,duration,temperature,vibration,pressure,operational_hours,system_state,efficiency_index,performance_score,description
operational_thresholds,367,367,1,87.0,62.0,36.89196935183214,367,1,0.6842723578585912,68.42723578585912,High temperature and vibration indicating failure risk
operational_thresholds,869,869,1,87.0,62.0,39.2344716386708,869,1,0.7256003612404562,72.56003612404562,High temperature and vibration indicating failure risk
operational_thresholds,18,18,1,62.30996904442048,44.539274601939375,18.0,18,0,0.8656984074998997,86.56984074998996,Low pressure indicating system stress
operational_thresholds,84,84,1,63.02415248132057,47.70651695598238,18.0,84,0,0.862633066064848,86.2633066064848,Low pressure indicating system stress
operational_thresholds,117,117,1,63.62732973676544,43.101417726923366,18.0,117,0,0.8693481638796184,86.93481638796185,Low pressure indicating system stress
operational_thresholds,120,120,1,21.3765538620303,15.102725705599942,18.0,120,2,0.29975100011934996,29.975100011934998,Low pressure indicating system stress
operational_thresholds,121,121,1,21.246077374140626,15.496389921473876,18.0,121,2,0.3104581820138419,31.04581820138419,Low pressure indicating system stress
operational_thresholds,122,122,1,21.647392758681328,15.566711591501885,18.0,122,2,0.32233941928005716,32.23394192800571,Low pressure indicating system stress
operational_thresholds,123,123,1,23.05585226122141,16.544873513985042,18.0,123,2,0.34684835293892546,34.68483529389255,Low pressure indicating system stress
operational_thresholds,124,124,1,22.82631443287617,13.996948189719447,18.0,124,2,0.31199673485400603,31.199673485400602,Low pressure indicating system stress
operational_thresholds,125,125,1,23.739664715983086,17.471131269404125,18.0,125,2,0.35463335740332336,35.46333574033233,Low pressure indicating system stress
operational_thresholds,126,126,1,19.658408292725216,14.791096265009786,18.0,126,2,0.3001519701741343,30.01519701741343,Low pressure indicating system stress
operational_thresholds,127,127,1,21.38723249094675,16.551672905165574,18.0,127,2,0.3502735938820184,35.02735938820184,Low pressure indicating system stress
operational_thresholds,128,128,1,23.22770370427599,16.9450340570203,18.0,128,2,0.3512656422622359,35.126564226223586,Low pressure indicating system stress
operational_thresholds,129,129,1,20.615118464391102,15.022266564478223,18.0,129,2,0.29671966623732426,29.671966623732427,Low pressure indicating system stress
operational_thresholds,130,130,1,22.070990942115245,17.658335783392452,18.0,130,2,0.34236301283043735,34.23630128304374,Low pressure indicating system stress
operational_thresholds,131,131,1,20.20272841864287,14.450624989638397,18.0,131,2,0.2840643448447233,28.40643448447233,Low pressure indicating system stress
operational_thresholds,132,132,1,23.219075910443685,17.202097932481955,18.0,132,2,0.3420499005347707,34.20499005347707,Low pressure indicating system stress
operational_thresholds,133,133,1,18.227647096337062,13.16843617894073,18.0,133,2,0.27737353844348767,27.737353844348767,Low pressure indicating system stress
operational_thresholds,134,134,1,20.041039593780773,14.555252557115226,18.0,134,2,0.29494034484705345,29.494034484705345,Low pressure indicating system stress
operational_thresholds,135,135,1,18.754097765919198,13.018961778811073,18.0,135,2,0.27706349700480437,27.706349700480438,Low pressure indicating system stress
operational_thresholds,136,136,1,20.282091271028605,13.357233807056682,18.0,136,2,0.2822272306302841,28.22272306302841,Low pressure indicating system stress
operational_thresholds,137,137,1,20.338451616493465,13.34701826012492,18.0,137,2,0.3023748514847281,30.23748514847281,Low pressure indicating system stress
operational_thresholds,138,138,1,19.633748635805002,11.922553194795933,18.0,138,2,0.2740484911002268,27.404849110022678,Low pressure indicating system stress
operational_thresholds,139,139,1,20.27599693691182,13.826297550790942,18.0,139,2,0.27905553791602655,27.905553791602657,Low pressure indicating system stress
operational_thresholds,140,140,1,18.87848319578351,12.544250308227685,18.0,140,2,0.24533832128857713,24.533832128857714,Low pressure indicating system stress
operational_thresholds,141,141,1,20.205097452131973,12.396593296430291,18.0,141,2,0.2711820483791294,27.11820483791294,Low pressure indicating system stress
operational_thresholds,142,142,1,22.012246103013833,14.68744088152415,18.0,142,2,0.3129986321120062,31.299863211200616,Low pressure indicating system stress
operational_thresholds,143,143,1,20.290347369614604,17.079750607791446,18.0,143,2,0.3327503139720003,33.275031397200024,Low pressure indicating system stress
operational_thresholds,144,144,1,22.485463508722226,14.638947886650014,18.0,144,2,0.3160284102153931,31.60284102153931,Low pressure indicating system stress
operational_thresholds,145,145,1,21.502977689369878,16.849032512010776,18.0,145,2,0.31649537513608716,31.649537513608717,Low pressure indicating system stress
operational_thresholds,146,146,1,23.344992302779406,17.070112200909723,18.0,146,2,0.3569849491766396,35.69849491766396,Low pressure indicating system stress
operational_thresholds,147,147,1,20.780223709728222,15.31233178545423,18.0,147,2,0.33068620268504967,33.068620268504965,Low pressure indicating system stress
operational_thresholds,148,148,1,24.12137688259749,17.578670997501007,18.0,148,2,0.36219221317000727,36.21922131700073,Low pressure indicating system stress
operational_thresholds,149,149,1,22.338033320136763,17.7052225256277,18.0,149,2,0.35533530830808335,35.53353083080834,Low pressure indicating system stress
operational_thresholds,150,150,1,22.61926016774513,17.502571169221145,18.0,150,2,0.3419478173624466,34.194781736244664,Low pressure indicating system stress
operational_thresholds,151,151,1,21.238967164186352,16.166546586033295,18.0,151,2,0.32859802344471145,32.85980234447115,Low pressure indicating system stress
operational_thresholds,152,152,1,21.38400670509353,16.42170135631058,18.0,152,2,0.3380561850471724,33.80561850471724,Low pressure indicating system stress
operational_thresholds,153,153,1,24.36070343854223,17.88810097262727,18.0,153,2,0.3549774933728649,35.497749337286486,Low pressure indicating system stress
operational_thresholds,154,154,1,22.370916655184153,16.653606720426062,18.0,154,2,0.3383345761710973,33.83345761710973,Low pressure indicating system stress
operational_thresholds,155,155,1,22.38017264030205,15.421021686164858,18.0,155,2,0.32324615545979174,32.32461554597917,Low pressure indicating system stress
operational_thresholds,156,156,1,20.93686618145876,15.429618790982753,18.0,156,2,0.31853305723890646,31.853305723890646,Low pressure indicating system stress
operational_thresholds,157,157,1,22.48798479356687,15.358092276952993,18.0,157,2,0.3452090248768269,34.52090248768269,Low pressure indicating system stress
operational_thresholds,158,158,1,18.938769687140255,12.213655733667347,18.0,158,2,0.2637583779904462,26.37583779904462,Low pressure indicating system stress
operational_thresholds,159,159,1,22.200563983651545,14.103615234653349,18.0,159,2,0.2840042930787021,28.400429307870212,Low pressure indicating system stress
operational_thresholds,160,160,1,18.287911797637353,14.469605859984373,18.0,160,2,0.2833007808563155,28.33007808563155,Low pressure indicating system stress
operational_thresholds,161,161,1,18.091804847206912,13.907177462051624,18.0,161,2,0.2740480952922426,27.40480952922426,Low pressure indicating system stress
operational_thresholds,162,162,1,20.157867744135356,12.714559655298709,18.0,162,2,0.2914359201038509,29.14359201038509,Low pressure indicating system stress
operational_thresholds,163,163,1,19.711614465383743,11.805538613901499,18.0,163,2,0.26558408045408655,26.558408045408655,Low pressure indicating system stress
operational_thresholds,164,164,1,19.983395492227952,12.34994394172106,18.0,164,2,0.28248439415507576,28.248439415507576,Low pressure indicating system stress
operational_thresholds,165,165,1,18.691400802287774,13.113942946557705,18.0,165,2,0.2774211675656153,27.74211675656153,Low pressure indicating system stress
operational_thresholds,166,166,1,20.622886503488157,13.992426033407483,18.0,166,2,0.31046917150596,31.046917150596,Low pressure indicating system stress
